club,club_type,target_distance,power_percent,power_range,final_distance,error,abs_error,iterations,found,reachable
1W,wood,50,0.31093750000000003,71.51562500000001,49.729929792988095,0.270070207011905,0.270070207011905,8,True,True
1W,wood,60,0.34375,79.0625,60.49372741360806,-0.49372741360806316,0.49372741360806316,6,True,True
1W,wood,70,0.37187500000000007,85.53125000000001,69.76139068986369,0.2386093101363116,0.2386093101363116,7,True,True
1W,wood,80,0.4,92.0,79.55935755491028,0.44064244508972195,0.44064244508972195,2,True,True
1W,wood,90,0.428125,98.46875,89.85772283789831,0.14227716210169206,0.14227716210169206,7,True,True
1W,wood,100,0.45156250000000003,103.85937500000001,99.68007299050697,0.31992700949302844,0.31992700949302844,8,True,True
1W,wood,110,0.47798461914062507,109.93646240234376,110.4972565049769,-0.4972565049769031,0.4972565049769031,16,True,True
1W,wood,120,0.503125,115.71875000000001,119.5374335328682,0.4625664671317935,0.4625664671317935,7,True,True
1W,wood,130,0.5265625,121.10937500000001,130.38003140441515,-0.38003140441514915,0.38003140441514915,8,True,True
1W,wood,140,0.55,126.50000000000001,139.5334380885385,0.46656191146149695,0.46656191146149695,3,True,True
1W,wood,160,0.596875,137.28125,160.48034946331862,-0.4803494633186176,0.4803494633186176,7,True,True
1W,wood,170,0.6203125,142.671875,170.20529026999773,-0.20529026999773237,0.20529026999773237,8,True,True
1W,wood,180,0.6414062500000001,147.52343750000003,179.52014224730914,0.4798577526908616,0.4798577526908616,9,True,True
1W,wood,210,0.7046875000000001,162.07812500000003,210.45445735190725,-0.45445735190725145,0.45445735190725145,8,True,True
1W,wood,220,0.72578125,166.9296875,220.25521355693013,-0.2552135569301299,0.2552135569301299,9,True,True
1W,wood,230,0.7468750000000001,171.78125000000003,230.14756197190985,-0.14756197190985176,0.14756197190985176,7,True,True
1W,wood,240,0.7679687500000001,176.63281250000003,240.12372654582714,-0.12372654582713949,0.12372654582713949,9,True,True
1W,wood,250,0.7902343750000003,181.75390625000006,250.4752660115028,-0.47526601150281067,0.47526601150281067,10,True,True
1W,wood,290,0.878125,201.96875,289.7897798614812,0.21022013851882093,0.21022013851882093,7,True,True
1W,wood,300,0.8968750000000001,206.28125000000003,299.50700527855264,0.49299472144736,0.49299472144736,7,True,True
1W,wood,310,0.9203125000000001,211.67187500000003,310.47133123046785,-0.47133123046785386,0.47133123046785386,8,True,True
1W,wood,320,0.9390625000000001,215.98437500000003,320.25683185366836,-0.25683185366835914,0.25683185366835914,8,True,True
1W,wood,340,0.9847656249999999,226.49609374999997,339.5314559440901,0.4685440559098879,0.4685440559098879,10,True,True
2W,wood,50,0.31796875,66.7734375,49.54189014598985,0.4581098540101465,0.4581098540101465,9,True,True
2W,wood,70,0.38125000000000003,80.0625,69.70301995747948,0.29698004252051646,0.29698004252051646,6,True,True
2W,wood,80,0.40937500000000004,85.96875000000001,80.18485316950314,-0.18485316950314257,0.18485316950314257,7,True,True
2W,wood,90,0.4375,91.875,89.75429058957683,0.2457094104231743,0.2457094104231743,5,True,True
2W,wood,130,0.5394531250000001,113.28515625000001,129.5463693362839,0.4536306637160976,0.4536306637160976,10,True,True
2W,wood,140,0.5640625000000001,118.45312500000003,140.05898368834124,-0.05898368834124312,0.05898368834124312,8,True,True
2W,wood,150,0.5828125,122.39062499999999,149.51015502343552,0.4898449765644841,0.4898449765644841,8,True,True
2W,wood,170,0.634375,133.21875,170.37361212784637,-0.3736121278463713,0.3736121278463713,7,True,True
2W,wood,180,0.6534179687500001,137.21777343750003,180.4401116273248,-0.4401116273247965,0.4401116273247965,12,True,True
2W,wood,190,0.6765625000000002,142.07812500000003,189.72002540255218,0.2799745974478185,0.2799745974478185,8,True,True
2W,wood,210,0.71875,150.9375,209.5734618335441,0.4265381664559129,0.4265381664559129,6,True,True
2W,wood,220,0.7445312500000001,156.35156250000003,219.8151392548263,0.18486074517369389,0.18486074517369389,9,True,True
2W,wood,240,0.7843750000000002,164.71875000000003,239.70839805302552,0.29160194697448105,0.29160194697448105,7,True,True
2W,wood,250,0.8078125,169.640625,249.62568969834484,0.3743103016551572,0.3743103016551572,8,True,True
2W,wood,260,0.83125,174.5625,259.6037589764364,0.39624102356361846,0.39624102356361846,6,True,True
2W,wood,280,0.872265625,183.17578125,280.3571295632605,-0.35712956326051426,0.35712956326051426,10,True,True
2W,wood,290,0.8921875000000001,187.35937500000003,289.6088913919298,0.3911086080702262,0.3911086080702262,8,True,True
2W,wood,300,0.915625,192.28125,299.78477999290726,0.21522000709273925,0.21522000709273925,7,True,True
2W,wood,310,0.9390625000000001,197.20312500000003,309.99178765717943,0.008212342820570484,0.008212342820570484,8,True,True
2W,wood,320,0.9625,202.125,320.22483426601684,-0.22483426601684187,0.22483426601684187,5,True,True
2W,wood,330,0.9859374999999999,207.04687499999997,330.4790778848259,-0.4790778848259265,0.4790778848259265,8,True,True
3W,wood,50,0.334375,63.53124999999999,49.73673772908452,0.26326227091548304,0.26326227091548304,7,True,True
3W,wood,60,0.3695312500000001,70.21093750000001,60.35417128283071,-0.35417128283071264,0.35417128283071264,9,True,True
3W,wood,70,0.4,76.0,69.84618707234894,0.15381292765106025,0.15381292765106025,2,True,True
