club,club_type,rotation_spin,rotation_curve,power_factor,degree,power_base,avg_abs_error,max_abs_error,avg_iterations,max_distance
1W,wood,0.55,1.61,236.0,10.0,230.0,0.35797020693577136,0.4972565049769031,7.782608695652174,340
2W,wood,0.5,1.41,204.0,13.0,210.0,0.3157592863622606,0.4898449765644841,7.714285714285714,330
3W,wood,0.45,1.26,176.0,16.0,190.0,0.28709205821360045,0.4845621015739425,7.958333333333333,310
2I,iron,0.45,1.07,161.0,20.0,180.0,0.26987021573796205,0.4832232102043576,8.333333333333334,310
3I,iron,0.45,0.95,149.0,24.0,170.0,0.28443985342643485,0.4984098630729505,9.041666666666666,300
4I,iron,0.45,0.83,139.0,28.0,160.0,0.3320688929454647,0.4962389084798246,7.8076923076923075,300
5I,iron,0.45,0.73,131.0,32.0,150.0,0.25313135707932616,0.4936849118469126,7.666666666666667,280
6I,iron,0.41,0.67,124.0,36.0,140.0,0.24572813940915453,0.4968984121896937,8.26086956521739,280
7I,iron,0.36,0.61,118.0,40.0,130.0,0.28752075947550665,0.497196735658207,8.045454545454545,260
8I,iron,0.3,0.57,114.0,44.0,120.0,0.26313019925116854,0.479301293645392,8.428571428571429,250
9I,iron,0.25,0.53,110.0,48.0,110.0,0.2463160776229556,0.4526400603923832,7.7894736842105265,230
PW,wedge,0.18,0.49,107.0,52.0,100.0,0.24493293222285845,0.4880338241522395,7.388888888888889,220
SW,wedge,0.17,0.42,93.0,56.0,80.0,0.30677701396875967,0.4709672082896787,6.846153846153846,170
