club,step,time,x,y,z,power_percent,target_distance,final_distance
1W,0,0.0,0.0,0.5432192705866618,3.158548888179638,0.6833465758554738,200,200.69242698016373
1W,1,0.02,0.0,1.0696878279339868,6.299464750551122,0.6833465758554738,200,200.69242698016373
1W,2,0.04,0.0,1.5795176989587185,9.422956479335076,0.6833465758554738,200,200.69242698016373
1W,3,0.06,0.0,2.0728188642071292,12.529229038985253,0.6833465758554738,200,200.69242698016373
1W,4,0.08,0.0,2.549699308781843,15.618483557269347,0.6833465758554738,200,200.69242698016373
1W,5,0.1,0.0,3.0102650718320687,18.69091741367192,0.6833465758554738,200,200.69242698016373
1W,6,0.12,0.0,3.454620294658183,21.74672432521439,0.6833465758554738,200,200.69242698016373
1W,7,0.14,0.0,3.882867267479516,24.786094429783173,0.6833465758554738,200,200.69242698016373
1W,8,0.16,0.0,4.295106474912175,27.809214367053336,0.6833465758554738,200,200.69242698016373
1W,9,0.18,0.0,4.691436640201847,30.8162673570917,0.6833465758554738,200,200.69242698016373
1W,10,0.2,0.0,5.071954768254678,33.80743327671992,0.6833465758554738,200,200.69242698016373
1W,11,0.22,0.0,5.436756187507615,36.78288873371486,0.6833465758554738,200,200.69242698016373
1W,12,0.24,0.0,5.785934590677884,39.742807138920575,0.6833465758554738,200,200.69242698016373
1W,13,0.26,0.0,6.119582074429756,42.68735877634327,0.6833465758554738,200,200.69242698016373
1W,14,0.28,0.0,6.4377891779951675,45.6167108712978,0.6833465758554738,200,200.69242698016373
1W,15,0.3,0.0,6.740644920783351,48.53102765667171,0.6833465758554738,200,200.69242698016373
1W,16,0.32,0.0,7.0282368390132355,51.43047043737012,0.6833465758554738,200,200.69242698016373
1W,17,0.34,0.0,7.30065102140103,54.315197653002414,0.6833465758554738,200,200.69242698016373
1W,18,0.36,0.0,7.557972143934168,57.18536493886946,0.6833465758554738,200,200.69242698016373
1W,19,0.38,0.0,7.800283503761536,60.04112518530764,0.6833465758554738,200,200.69242698016373
1W,20,0.4,0.0,8.027667052228772,62.88262859544403,0.6833465758554738,200,200.69242698016373
1W,21,0.42,0.0,8.240203427086291,65.710022741415,0.6833465758554738,200,200.69242698016373
1W,22,0.44,0.0,8.437971983896645,68.52345261909845,0.6833465758554738,200,200.69242698016373
1W,23,0.46,0.0,8.621050826666774,71.32306070140815,0.6833465758554738,200,200.69242698016373
1W,24,0.48,0.0,8.78951683772975,74.10898699019687,0.6833465758554738,200,200.69242698016373
1W,25,0.5,0.0,8.94344570689966,76.88136906681308,0.6833465758554738,200,200.69242698016373
1W,26,0.52,0.0,9.08291195992239,79.64034214135468,0.6833465758554738,200,200.69242698016373
1W,27,0.54,0.0,9.207988986244196,82.38603910066136,0.6833465758554738,200,200.69242698016373
1W,28,0.56,0.0,9.318749066119098,85.11859055508577,0.6833465758554738,200,200.69242698016373
1W,29,0.58,0.0,9.415263397075408,87.83812488408235,0.6833465758554738,200,200.69242698016373
1W,30,0.6,0.0,9.497602119760844,90.54476828065108,0.6833465758554738,200,200.69242698016373
1W,31,0.62,0.0,9.565834343185035,93.23864479467231,0.6833465758554738,200,200.69242698016373
1W,32,0.64,0.0,9.62002816937747,95.91987637516722,0.6833465758554738,200,200.69242698016373
1W,33,0.66,0.0,9.660250717478274,98.58858291151772,0.6833465758554738,200,200.69242698016373
1W,34,0.68,0.0,9.686568147278567,101.24488227367787,0.6833465758554738,200,200.69242698016373
1W,35,0.7000000000000001,0.0,9.699045682226522,103.8888903514082,0.6833465758554738,200,200.69242698016373
1W,36,0.72,0.0,9.697747631914634,106.52072109256295,0.6833465758554738,200,200.69242698016373
1W,37,0.74,0.0,9.682737414063153,109.14048654045949,0.6833465758554738,200,200.69242698016373
1W,38,0.76,0.0,9.654077576014075,111.74829687035778,0.6833465758554738,200,200.69242698016373
1W,39,0.78,0.0,9.611829815749545,114.34426042507707,0.6833465758554738,200,200.69242698016373
1W,40,0.8,0.0,9.556055002448023,116.92848374977616,0.6833465758554738,200,200.69242698016373
1W,41,0.8200000000000001,0.0,9.486813196591074,119.50107162592226,0.6833465758554738,200,200.69242698016373
1W,42,0.84,0.0,9.404163669633164,122.06212710447306,0.6833465758554738,200,200.69242698016373
1W,43,0.86,0.0,9.308164923246384,124.61175153829558,0.6833465758554738,200,200.69242698016373
1W,44,0.88,0.0,9.198874708151617,127.15004461384453,0.6833465758554738,200,200.69242698016373
1W,45,0.9,0.0,9.07635004254719,129.67710438212237,0.6833465758554738,200,200.69242698016373
1W,46,0.92,0.0,8.940647230145697,132.19302728894212,0.6833465758554738,200,200.69242698016373
1W,47,0.9400000000000001,0.0,8.791821877829253,134.69790820451385,0.6833465758554738,200,200.69242698016373
1W,48,0.96,0.0,8.629928912933112,137.19184045237438,0.6833465758554738,200,200.69242698016373
1W,49,0.98,0.0,8.455022600167132,139.6749158376797,0.6833465758554738,200,200.69242698016373
1W,50,1.0,0.0,8.267156558184336,142.1472246748786,0.6833465758554738,200,200.69242698016373
1W,51,1.02,0.0,8.066383775805395,144.60885581478558,0.6833465758554738,200,200.69242698016373
1W,52,1.04,0.0,7.852756627907568,147.05989667107025,0.6833465758554738,200,200.69242698016373
1W,53,1.06,0.0,7.626326890986333,149.50043324618025,0.6833465758554738,200,200.69242698016373
1W,54,1.08,0.0,7.387145758397635,151.93055015671382,0.6833465758554738,200,200.69242698016373
1W,55,1.1,0.0,7.135263855288378,154.35033065825786,0.6833465758554738,200,200.69242698016373
1W,56,1.12,0.0,6.870731253222539,156.7598566697066,0.6833465758554738,200,200.69242698016373
1W,57,1.1400000000000001,0.0,6.593597484509984,159.1592087970757,0.6833465758554738,200,200.69242698016373
1W,58,1.16,0.0,6.303911556244839,161.54846635682588,0.6833465758554738,200,200.69242698016373
1W,59,1.18,0.0,6.001721964059997,163.92770739871014,0.6833465758554738,200,200.69242698016373
1W,60,1.2,0.0,5.6870767056041265,166.29700872815746,0.6833465758554738,200,200.69242698016373
1W,61,1.22,0.0,5.360023293747303,168.65644592820647,0.6833465758554738,200,200.69242698016373
1W,62,1.24,0.0,5.020608769521169,171.00609338100085,0.6833465758554738,200,200.69242698016373
1W,63,1.26,0.0,4.668879714799325,173.34602428885933,0.6833465758554738,200,200.69242698016373
1W,64,1.28,0.0,4.304882264723442,175.67631069493126,0.6833465758554738,200,200.69242698016373
1W,65,1.3,0.0,3.928662119880388,177.99702350344964,0.6833465758554738,200,200.69242698016373
1W,66,1.32,0.0,3.5402645582354824,180.30823249959195,0.6833465758554738,200,200.69242698016373
1W,67,1.34,0.0,3.1397344468268127,182.61000636896011,0.6833465758554738,200,200.69242698016373
1W,68,1.36,0.0,2.727116253225355,184.90241271668904,0.6833465758554738,200,200.69242698016373
1W,69,1.3800000000000001,0.0,2.3024540567655025,187.1855180861943,0.6833465758554738,200,200.69242698016373
1W,70,1.4000000000000001,0.0,1.8657915595504178,189.45938797756816,0.6833465758554738,200,200.69242698016373
1W,71,1.42,0.0,1.4171720972364945,191.72408686563347,0.6833465758554738,200,200.69242698016373
1W,72,1.44,0.0,0.956638649601049,193.97967821766412,0.6833465758554738,200,200.69242698016373
1W,73,1.46,0.0,0.4842338508972311,196.22622451078104,0.6833465758554738,200,200.69242698016373
1W,74,1.48,0.0,3.6637359812630166e-15,198.4637872490321,0.6833465758554738,200,200.69242698016373
1W,75,1.5,0.0,-0.4960209296530877,200.69242698016373,0.6833465758554738,200,200.69242698016373
3W,0,0.0,0.0,0.6981365640736847,2.4825323011774105,0.7370172140221634,200,199.1220809644153
3W,1,0.02,0.0,1.3794189458207544,4.953912944241356,0.7370172140221634,200,199.1220809644153
3W,2,0.04,0.0,2.0439409691466577,7.414257732595551,0.7370172140221634,200,199.1220809644153
3W,3,0.06,0.0,2.6917949078257375,9.86368048359571,0.7370172140221634,200,199.1220809644153
3W,4,0.08,0.0,3.3230715199855303,12.302293066936143,0.7370172140221634,200,199.1220809644153
3W,5,0.1,0.0,3.937860081790773,14.730205442052592,0.7370172140221634,200,199.1220809644153
3W,6,0.12,0.0,4.536248420352379,17.14752569457235,0.7370172140221634,200,199.1220809644153
3W,7,0.14,0.0,5.1183229458857324,19.55436007184165,0.7370172140221634,200,199.1220809644153
3W,8,0.16,0.0,5.684168683141746,21.950813017559245,0.7370172140221634,200,199.1220809644153
3W,9,0.18,0.0,6.233869302133306,24.336987205544197,0.7370172140221634,200,199.1220809644153
3W,10,0.2,0.0,6.767507148178869,26.71298357266482,0.7370172140221634,200,199.1220809644153
3W,11,0.22,0.0,7.285163271284222,29.078901350954947,0.7370172140221634,200,199.1220809644153
3W,12,0.24,0.0,7.786917454882628,31.434838098942688,0.7370172140221634,200,199.1220809644153
3W,13,0.26,0.0,8.272848243952879,33.78088973221614,0.7370172140221634,200,199.1220809644153
3W,14,0.28,0.0,8.743032972534039,36.11715055324956,0.7370172140221634,200,199.1220809644153
3W,15,0.3,0.0,9.197547790655005,38.44371328051286,0.7370172140221634,200,199.1220809644153
3W,16,0.32,0.0,9.636467690696366,40.76066907688647,0.7370172140221634,200,199.1220809644153
3W,17,0.34,0.0,10.059866533201372,43.06810757740288,0.7370172140221634,200,199.1220809644153
3W,18,0.36,0.0,10.467817072152275,45.36611691633555,0.7370172140221634,200,199.1220809644153
3W,19,0.38,0.0,10.860390979727644,47.654783753655195,0.7370172140221634,200,199.1220809644153
3W,20,0.4,0.0,11.237658870555775,49.934193300872685,0.7370172140221634,200,199.1220809644153
3W,21,0.42,0.0,11.599690325478694,52.20442934628741,0.7370172140221634,200,199.1220809644153
3W,22,0.44,0.0,11.946553914840774,54.46557427965917,0.7370172140221634,200,199.1220809644153
3W,23,0.46,0.0,12.278317221315453,56.71770911632118,0.7370172140221634,200,199.1220809644153
3W,24,0.48,0.0,12.595046862283061,58.96091352075116,0.7370172140221634,200,199.1220809644153
3W,25,0.5,0.0,12.896808511772289,61.19526582961704,0.7370172140221634,200,199.1220809644153
3W,26,0.52,0.0,13.183666921977355,63.4208430743132,0.7370172140221634,200,199.1220809644153
3W,27,0.54,0.0,13.455685944362513,65.63772100300268,0.7370172140221634,200,199.1220809644153
3W,28,0.56,0.0,13.71292855036508,67.84597410218048,0.7370172140221634,200,199.1220809644153
